Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OR770967,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-154,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770780,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-153,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770815,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-153,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770966,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-153,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770779,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-152,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770814,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-152,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770965,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-152,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770778,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-151,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770880,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-151,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770964,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-151,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770723,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-150,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770813,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-150,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770963,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-150,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770744,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-15,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770825,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-15,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770898,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-15,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770777,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-148,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770812,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-148,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770962,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-148,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770776,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-146,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770811,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-146,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770961,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-146,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770775,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-145,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770810,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-145,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770960,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-145,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770774,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-144,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770809,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-144,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770959,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-144,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770794,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-143,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770808,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-143,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770958,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-143,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770722,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-142,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770807,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-142,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770957,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-142,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770773,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-141,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770806,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-141,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770956,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-141,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770772,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-140,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770879,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-140,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770955,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-140,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770743,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-14,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770824,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-14,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770897,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-14,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770771,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-139,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770878,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-139,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770954,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-139,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770770,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-138,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770805,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-138,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770953,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-138,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770793,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-137,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770804,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-137,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770952,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-137,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770769,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-136,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770877,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-136,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770951,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-136,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770768,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-135,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770876,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-135,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770950,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-135,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770792,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-134,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770803,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-134,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770949,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-134,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770791,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-133,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770802,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-133,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770948,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-133,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770767,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-132,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770801,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-132,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770947,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-132,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770766,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-131,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770875,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-131,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770946,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-131,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770765,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-130,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770800,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-130,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770945,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-130,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770742,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-13,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770841,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-13,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770896,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-13,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770731,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-129,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770799,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-129,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770944,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-129,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770764,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-128,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770798,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-128,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770943,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-128,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770763,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-127,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770874,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-127,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770942,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-127,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770762,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-126,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770797,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-126,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770941,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-126,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770721,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-125,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770796,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-125,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770940,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-125,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770761,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-124,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770873,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-124,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770939,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-124,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770707,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-123,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770863,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-123,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770938,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-123,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770720,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-120,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770862,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-120,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770937,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-120,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770741,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-12,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770866,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-12,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770895,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-12,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770760,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-115,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770872,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-115,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770936,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-115,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770759,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-113,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770861,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-113,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770935,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-113,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770730,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-110,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770860,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-110,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770934,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-110,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770740,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-11,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770840,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-11,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770894,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-11,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770708,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-109,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770859,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-109,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770933,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-109,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770719,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-106,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770871,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-106,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770932,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-106,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770718,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-105,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770858,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-105,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770931,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-105,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
