accession,lineage
KY549166,A
KY549165,A
KY549164,A
KY549163,A
KY549162,A
KY549161,A
MT568919,Unknown
PX447092,Unknown
PX447135,Unknown
KY549160,A
KY549159,A
KY549158,A
KY549157,A
PV352302,Unknown
KY549156,A
PP974732,Unknown
PX447123,Unknown
PX447166,Unknown
KJ543723,Unknown
PV352301,Unknown
PP974731,Unknown
PX131867,Unknown
KJ543722,Unknown
KJ549650,Unknown
PP974730,Unknown
KJ543721,Unknown
KJ543720,Unknown
PP974750,Unknown
MT568918,Unknown
KJ549649,Unknown
KJ543719,Unknown
KJ549648,Unknown
KJ543718,Unknown
KJ543717,Unknown
KJ543716,Unknown
KJ543715,Unknown
KJ549647,Unknown
KJ543714,Unknown
KJ549646,Unknown
KX822083,Unknown
KP019230,Unknown
KP019239,Unknown
KP019231,Unknown
KP019238,Unknown
KP019229,Unknown
PV091190,Unknown
PP974713,Unknown
MT568882,Unknown
KX758540,Unknown
PV091178,Unknown
MT568878,Unknown
KF921508,Unknown
KP019237,Unknown
GQ326913,Unknown
KP019228,Unknown
KP019236,Unknown
KP019235,Unknown
KP019234,Unknown
KP019233,Unknown
KP019232,Unknown
KP019227,Unknown
KP019226,Unknown
KP019225,Unknown
KP019224,Unknown
KP019223,Unknown
PP213026,Unknown
PP213025,Unknown
PP213024,Unknown
PV352300,Unknown
PP213023,Unknown
PP213022,Unknown
PP213021,Unknown
PP213020,Unknown
PP213018,Unknown
PP213019,Unknown
PP213017,Unknown
PP213016,Unknown
PP213015,Unknown
PP213014,Unknown
PP213013,Unknown
PP213012,Unknown
PP213011,Unknown
PP213010,Unknown
PP213009,Unknown
PP213008,Unknown
PP213007,Unknown
PP213006,Unknown
PP213003,Unknown
PP213004,Unknown
PP213005,Unknown
PP213001,Unknown
PP213002,Unknown
PP212998,Unknown
PP212999,Unknown
PP213000,Unknown
PP212997,Unknown
PP212996,Unknown
PP212995,Unknown
PV051168,A
PV051167,A
PV051166,A
PV051165,A
PV051164,A
PV051163,A
PV051162,A
PV051161,A
PV051160,A
PV051159,A
PV051158,A
PV051157,A
PV051156,A
PV051155,A
PV051154,A
PV051153,A
PV051152,A
PV051151,A
PV051150,A
PV051149,A
PV051148,A
PV051147,A
PV051146,A
PV051145,A
PV051144,A
PV051143,A
PV051142,A
PV051141,A
PV051140,A
PV051139,A
PV051138,A
PV051137,A
PV051136,A
PV051135,A
PV051134,A
PV051133,A
PV051132,A
PV051131,A
PV051130,A
PV051129,A
PV051128,A
PV051127,A
PV051126,A
PV051125,A
PV051124,A
PV051123,A
PV051122,A
PV051121,A
PV051120,A
PV051119,A
PV031881,Unknown
PV031882,Unknown
PV031883,Unknown
PV358396,Unknown
PV358398,Unknown
OR348819,Unknown
OR348820,Unknown
OR348821,Unknown
OR348822,Unknown
OR348823,Unknown
OR348824,Unknown
OR348825,Unknown
OR348826,Unknown
OR348827,Unknown
OR348828,Unknown
OR348829,Unknown
OR348830,Unknown
OR348831,Unknown
OR348832,Unknown
OR348833,Unknown
OR348834,Unknown
OR348835,Unknown
OR348836,Unknown
OR348837,Unknown
OR348838,Unknown
OR348839,Unknown
OR348840,Unknown
OR348841,Unknown
OR348842,Unknown
OR348843,Unknown
OR348844,Unknown
OR348845,Unknown
OR348846,Unknown
OR348847,Unknown
OR348848,Unknown
OR348849,Unknown
OR348850,Unknown
OR348851,Unknown
OR348852,Unknown
OR348853,Unknown
OR348854,Unknown
OR348855,Unknown
OR348856,Unknown
OR348857,Unknown
OR348858,Unknown
OR348859,Unknown
PP747176,Unknown
PP747181,Unknown
PP747182,Unknown
PP747185,Unknown
PP747187,Unknown
PP747189,Unknown
PP747190,Unknown
PP747191,Unknown
PP747193,Unknown
PP747194,Unknown
PP747195,Unknown
PP747196,Unknown
PP747197,Unknown
PP747199,Unknown
PP747200,Unknown
PP747201,Unknown
PP747202,Unknown
PP747204,Unknown
PP747205,Unknown
PP747206,Unknown
PP747208,Unknown
PP747209,Unknown
PP747210,Unknown
PP747221,Unknown
OQ918082,Unknown
OQ918083,Unknown
OQ918084,Unknown
OQ918085,Unknown
OQ918086,Unknown
OQ918087,Unknown
OQ918088,Unknown
OQ918089,Unknown
OQ918090,Unknown
OQ918091,Unknown
MZ380334,Unknown
MN163283,Unknown
MN163284,Unknown
MN163285,Unknown
MN163286,Unknown
MN163287,Unknown
MN163288,Unknown
MN163289,Unknown
MN163290,Unknown
MN163291,Unknown
MN163292,Unknown
MN163293,Unknown
MN163294,Unknown
MN163295,Unknown
MN163296,Unknown
MN163297,Unknown
MN163298,Unknown
MN163299,Unknown
MN163300,Unknown
MN163301,Unknown
MN163302,Unknown
MN163303,Unknown
MW320358,A
MN943490,Unknown
MN943491,Unknown
MN943492,Unknown
MN943493,Unknown
MN943494,Unknown
MN943495,Unknown
MT783409,Unknown
MT783410,Unknown
MN735457,Unknown
MN848167,Unknown
MN848168,Unknown
MN848169,Unknown
MN848170,Unknown
MN848171,Unknown
MN848172,Unknown
MN848173,Unknown
MN848174,Unknown
MN848175,Unknown
MN848176,Unknown
MN848177,Unknown
MN848178,Unknown
MN848179,Unknown
MN848180,Unknown
MN848181,Unknown
MN848182,Unknown
MN848183,Unknown
MN848184,Unknown
MN848185,Unknown
MN848186,Unknown
MN848187,Unknown
MN848188,Unknown
MN848189,Unknown
MN848190,Unknown
MN848191,Unknown
MN848192,Unknown
MN848193,Unknown
MN848194,Unknown
MN848195,Unknown
MN848196,Unknown
MN848197,Unknown
MN848198,Unknown
MN848199,Unknown
MN848200,Unknown
MN848201,Unknown
MN848202,Unknown
MN848203,Unknown
MN848204,Unknown
MN848205,Unknown
MN848206,Unknown
MN848207,Unknown
MN848208,Unknown
MN848209,Unknown
MN848210,Unknown
MN848211,Unknown
MN848212,Unknown
MN848213,Unknown
MN848214,Unknown
MN848215,Unknown
MN848216,Unknown
MN848217,Unknown
MN848218,Unknown
MN848219,Unknown
MN848220,Unknown
MN848221,Unknown
MN848222,Unknown
MN848223,Unknown
MN848224,Unknown
MN848225,Unknown
MN848226,Unknown
MN848227,Unknown
MN848228,Unknown
MN848229,Unknown
MN848230,Unknown
MN848231,Unknown
MN848232,Unknown
MN848233,Unknown
MN536713,Unknown
MH892050,A
KU199314,Unknown
KU199315,Unknown
KX827590,Unknown
KT020836,Unknown
KT020837,Unknown
KT020838,Unknown
KT020839,Unknown
KT020840,Unknown
KT020841,Unknown
KU158214,Unknown
KR732977,Unknown
JQ004092,A
JQ004093,A
JQ004094,A
JQ004095,A
JQ004096,A
JQ004097,A
JQ004098,A
JQ004099,A
JN565302,A
JN565303,A
JQ067943,A
JQ067944,A
JF944819,Unknown
JN381039,Unknown
JN381040,Unknown
JN381041,Unknown
JN381042,Unknown
JN381043,Unknown
JN381044,Unknown
JN381045,Unknown
JN381046,Unknown
JN381047,Unknown
JN381048,Unknown
JN381049,Unknown
JN381050,Unknown
JN381051,Unknown
JN381052,Unknown
JN381053,Unknown
JN381054,Unknown
JN381055,Unknown
JN381056,Unknown
JN381057,Unknown
JN381058,Unknown
JN381059,Unknown
JN381060,Unknown
JN381061,Unknown
JN381062,Unknown
JN381063,Unknown
JN381064,Unknown
JN381065,Unknown
JN381066,Unknown
JN381067,Unknown
GU447243,Unknown
GU447244,Unknown
GU447247,Unknown
GU447249,Unknown
GU447251,Unknown
GU447256,Unknown
GU447273,Unknown
GU447275,Unknown
GU447282,Unknown
GU447285,Unknown
GU447286,Unknown
FJ610146,A
FJ610147,A
FJ610148,B
FJ610149,B
FJ610150,C
FJ610151,D
FJ610152,D
GQ161253,Unknown
GQ161254,Unknown
GQ161257,Unknown
GQ161258,Unknown
GQ161267,Unknown
GQ161289,Unknown
GQ161293,Unknown
GQ161294,Unknown
GQ161297,Unknown
GQ161303,Unknown
GQ161314,Unknown
GQ161328,Unknown
GQ161335,Unknown
GQ161336,Unknown
GQ161338,Unknown
GQ161342,Unknown
GQ161359,Unknown
GQ161364,Unknown
GQ161371,Unknown
GQ161372,Unknown
GQ161374,Unknown
GQ161378,Unknown
GQ161387,Unknown
GQ161396,Unknown
GQ161397,Unknown
GQ161398,Unknown
GQ161402,Unknown
GQ161411,Unknown
GQ161415,Unknown
GQ161418,Unknown
GQ161419,Unknown
GQ161424,Unknown
GQ161429,Unknown
GQ161432,Unknown
GQ161433,Unknown
GQ161434,Unknown
GQ161436,Unknown
GQ161444,Unknown
GQ161450,Unknown
GQ161453,Unknown
GQ161462,Unknown
GQ161469,Unknown
GQ161483,Unknown
GQ161487,Unknown
GQ161488,Unknown
GQ161490,Unknown
GQ161492,Unknown
GQ161507,Unknown
GQ161517,Unknown
GQ161518,Unknown
GQ161519,Unknown
GQ161534,Unknown
GQ161544,Unknown
GQ161546,Unknown
GQ161549,Unknown
GQ161554,Unknown
GQ161555,Unknown
GQ161556,Unknown
GQ161567,Unknown
GQ161570,Unknown
GQ161572,Unknown
GQ161575,Unknown
GQ161577,Unknown
GQ161581,Unknown
GQ161589,Unknown
GQ161590,Unknown
GQ161593,Unknown
GQ161599,Unknown
GQ161601,Unknown
GQ161602,Unknown
GQ161604,Unknown
GQ161608,Unknown
GQ161613,Unknown
GQ161615,Unknown
GQ161616,Unknown
GQ161617,Unknown
GQ161618,Unknown
GQ161619,Unknown
GQ161620,Unknown
GQ161622,Unknown
GQ161623,Unknown
GQ161624,Unknown
GQ161625,Unknown
GQ161626,Unknown
GQ161627,Unknown
GQ161630,Unknown
GQ161633,Unknown
GQ161637,Unknown
GQ161638,Unknown
GQ161639,Unknown
GQ161642,Unknown
GQ161645,Unknown
GQ161646,Unknown
GQ161647,Unknown
GQ161653,Unknown
GQ161654,Unknown
GQ161656,Unknown
GQ161660,Unknown
GQ161661,Unknown
GQ161662,Unknown
GQ161663,Unknown
GQ161667,Unknown
GQ161675,Unknown
GQ161676,Unknown
GQ161681,Unknown
GQ161685,Unknown
GQ161689,Unknown
GQ161691,Unknown
GQ161700,Unknown
GQ161708,Unknown
GQ161711,Unknown
GQ161725,Unknown
GQ161733,Unknown
GQ161734,Unknown
GQ161735,Unknown
GQ161745,Unknown
GQ161751,Unknown
FJ797055,Unknown
FJ006723,A
EU779709,Unknown
EU779711,Unknown
EU779714,Unknown
EU779715,Unknown
EU779719,Unknown
EU779721,Unknown
EU779722,Unknown
EU779733,Unknown
EU779736,Unknown
EU779738,Unknown
EU779749,Unknown
EU779752,Unknown
EU779755,Unknown
